trial_name,KL_divergence,decision_prob_correlation,decision_prob_rmse,discrete_mutual_information,green_given_decision_correlation,green_given_decision_rmse,red_green_ordering,rmse_(R-G),rmse_(|R-G|),rmse_RG,rmse_RGU
E19,0.2189495894474831,0.983991592159656,0.07836160050646358,0.9656775062474348,0.9300606107820142,0.22632301801288884,0.631578947368421,0.28730866550682754,0.26441386183017274,0.14890165354122892,0.1297227110526641
E2,0.38465186223978665,0.9730837889871465,0.10959776667922755,0.9957253951137326,nan,0.030376897533456706,0.84375,0.07906616139969863,0.07906616139969863,0.06757057114520638,0.08395084798232277
E20,0.15384450908865288,0.9894491101805234,0.05239561805973571,1.2405036333722212,0.8985862189851946,0.12675191963358723,0.9705882352941176,0.16545856291135702,0.1653765926503013,0.08677821851212605,0.07704158878627027
E21,0.20693511795712113,0.9901617682120613,0.054728929101084796,0.8981379058168492,0.649415444744521,0.3082806395157173,0.45,0.497913898611717,0.34801657800500296,0.250456336569506,0.20692350336633014
E22,0.3713100740819346,0.991911238561477,0.04331929903230457,0.9030706964981488,0.9271219660610481,0.3095567238471357,0.5357142857142857,0.46498092673704855,0.26831461828273195,0.233497229050954,0.1922831883946155
E23,0.18858883434345705,0.9896734297341894,0.08403189501307616,1.0445389612463742,0.8587967684299921,0.16431930959240698,0.8947368421052632,0.2531739829527782,0.25237075827378413,0.13337768275058454,0.11922048466506613
E24,0.15841286676669092,0.9940953513248872,0.04898480655531056,1.3225920389890384,0.8355706245053931,0.15043698673520056,0.9722222222222222,0.2106576252791645,0.2106576252791645,0.10813896887976841,0.09271386889065418
E25,0.18073877150830273,0.9788267759815922,0.0701375572434591,1.0581051343043228,0.9711210758747342,0.25988968239612026,0.7391304347826086,0.4314203680769468,0.3429867609288137,0.21854222185182418,0.1829760297597688
E26,0.20005085605166872,0.9790412384076803,0.09007831771228525,1.178791341392294,0.9355833029641036,0.2402799250965525,0.8103448275862069,0.3731344508748852,0.24777462355036134,0.19192669287489533,0.16511189559171094
E27,0.3225131538000107,0.9834826866977617,0.05321851228254866,0.722761645565011,0.9151839382005842,0.3745580744830283,0.4,0.4980135626051932,0.3321295230703784,0.2504244988955176,0.2067664296927897
E28,0.12694375367001648,0.9925992409567144,0.04333531850147815,1.0994428231922875,0.8747574067046868,0.18090647162312312,0.5576923076923077,0.23135884300932616,0.18190339148691514,0.11769118920743236,0.09929817363836363
E29,0.1946025015102276,0.9415310425957455,0.18459312686473894,0.8817813272073755,0.7400467407407348,0.14673595693208172,0.7878787878787878,0.15770907667998502,0.10997800973765792,0.12139478505371946,0.14554267434007012
E3,0.18171486866372108,0.9861375354763054,0.10636991042035868,1.1022892137223812,0.7645037539089866,0.16432988630286374,0.9318181818181818,0.19032315862965166,0.1902826749608973,0.10901543761504913,0.10814078650789205
E30,0.1883934064043339,0.9552319557175977,0.1667727562788622,0.979167332976369,0.8566644985530575,0.13843698094784276,0.7941176470588235,0.16225741963499946,0.12168168858655895,0.11634068770582488,0.13525711745730465
E31,0.0764470051966161,0.9616041865986701,0.092717043626444,1.1319414543323854,0.8926900608390615,0.12797176588384251,0.703125,0.15800930803467275,0.11368440884935191,0.09160157149910697,0.09197489871524717
E32,0.16618693926561326,0.9968049058108335,0.06370896535951075,1.0655280908781115,0.9433618223965643,0.3134784923103197,0.3076923076923077,0.4237338300824299,0.11811899563975846,0.21424821529216112,0.17875814925846203
E33,0.22487349022192907,0.9591496386989057,0.10515480880243902,1.0156907814854497,0.5580806515308366,0.17195330847131884,0.890625,0.23269958221041573,0.2285908059783927,0.1276779438422897,0.12063836938258528
E34,0.054537285810415725,0.9920165288743759,0.042363973368728366,1.1952441731386099,0.9493680181615987,0.07947927186431224,0.8214285714285714,0.12132149966360223,0.11622084152421362,0.06425265076285133,0.057883539685856016
E35,0.15668165722646105,0.9705909818142536,0.13388061920570463,1.071011623427946,0.4700894382476143,0.1007143224275133,0.9285714285714286,0.1698105872012773,0.16483844517430635,0.10811990534187668,0.11733690533555592
E36,0.09491524356618111,0.9724657648493775,0.07975786261000449,1.1197300885605814,0.780812613600482,0.1584004510132533,0.6046511627906976,0.20958429712583826,0.1335191048137065,0.11212369759538794,0.10247725564410273
E37,0.07860088313959916,0.9915919203515302,0.05083078383914785,1.297421825656084,0.9112325522840407,0.18591568554943655,0.6829268292682927,0.22905220436469298,0.19934807235861926,0.11731227654217104,0.10018001969906608
E38,0.11865587250781406,0.9901445999378209,0.06613953477351589,1.214793928751294,0.9905083809922672,0.06420391577116494,0.8676470588235294,0.11530722904400889,0.11011479707746238,0.06646464310041965,0.06635645064093729
E39,0.12707026339894126,0.9801206121140448,0.12543718335734153,0.9770040959847518,0.7687077763088784,0.14140851551434883,0.6296296296296297,0.17762339191425094,0.11624394896188046,0.10872506188058358,0.11456696023213786
E4,0.3803363839009539,0.9972018140155291,0.03159496283067561,1.1105607491151936,nan,0.04705532315078076,0.9795918367346939,0.043939912656149833,0.043939912656149833,0.027059922396885445,0.028651471611551925
E40,0.16677916627054476,0.9434352180932176,0.1401856261393555,1.1551703999074983,0.9554892287457315,0.1820252784020715,0.8363636363636363,0.27444305923100726,0.2613024928317259,0.15408682823018754,0.14959669230318542
E41,0.10815768694660544,0.9589633822313117,0.09950566036083246,1.103454530608032,0.862635837839401,0.13411983706005307,0.5897435897435898,0.1178787727779446,0.08665628695364311,0.07713102734224346,0.08524429052549534
E42,0.13293276561709547,0.9968076746007888,0.03821274218913542,1.1605948015907934,0.9670109570054427,0.15413765528189463,0.6666666666666666,0.19361400877604681,0.15222622990896553,0.09867446232428184,0.08353345177349722
E43,0.21439743345180678,0.9770631710104981,0.08538193785392811,1.1018199786571259,0.9088248672476381,0.23452168355881498,0.38461538461538464,0.3594611052776248,0.2515621688555897,0.18473112996941238,0.1586833913502438
E44,0.15802675603870892,0.9920593512142807,0.046052832516667856,1.3222011650652412,0.9444910991343791,0.14201165182954792,0.8055555555555556,0.18630731490083718,0.1676357738830569,0.09595738503154402,0.08273754260107126
E45,0.1255443425420652,0.9775489490721957,0.0765432002644741,1.3121531253296241,0.9906849658838184,0.04459796435098283,0.9180327868852459,0.07300332839171414,0.07138066022558291,0.0528874925265791,0.06178736450716901
E46,0.09028630705848187,0.9872410218704546,0.07171519823064211,1.2561447712924658,0.9417521450748857,0.10050071711153466,0.8717948717948718,0.12090810494934319,0.11580864607834983,0.07028840498208377,0.07076719910408384
E47,0.07388282681196542,0.9901038493062418,0.05959627868245089,1.2541701362040878,0.9617620723172425,0.1006346568383902,0.717948717948718,0.13063356968050546,0.10144472046048261,0.07179283731729062,0.06797092371725394
E48,0.25085821844564365,0.9866962713209451,0.059670919693768906,0.8393103175440503,0.7441171072481327,0.2684705518247437,0.4878048780487805,0.3514407539496387,0.3066743764868097,0.178235253382847,0.1495506934721418
E49,0.10226059853738136,0.9644687837428622,0.13055966708390696,1.2873911512390954,0.9372439048972536,0.146361086206286,0.4375,0.16658053669873055,0.12411349625483856,0.10582403067817078,0.11466367865342754
E5,0.20921488331877575,0.9761463402102761,0.08184968489285684,1.051290500148518,0.6985581141273575,0.17507037388446683,0.5428571428571428,0.20278389144632394,0.15792402959670587,0.10933969721374581,0.1010110714899563
E50,0.05075235052076038,0.9829317552484518,0.06614712787401562,1.2216356394684238,0.9352958628598199,0.11112960647267864,0.8529411764705882,0.15403779676927767,0.14667340080098476,0.08381987437283993,0.0783730081208633
E6,0.1460515496702594,0.9940574308033704,0.04842099954933893,1.1777169212513077,0.8810412835421277,0.21483823604252092,0.59375,0.25438143276435976,0.16829075358446807,0.1294744246295437,0.10934935827225183
E7,0.1413899980772877,0.9767801474584907,0.11588064531325427,1.1386331350732883,0.8724865670446825,0.07724403076967754,0.8405797101449275,0.1313434984912553,0.12832087130807895,0.08757773483331625,0.0979252150627977
E8,0.09500044346888614,0.9743958484615934,0.09709057811488107,1.187286091494989,0.9136562833630189,0.14864446899023165,0.7142857142857143,0.174966469715443,0.12579572711230405,0.1000497949565201,0.09907321080959146
E9,0.07051937626562405,0.9898602899417521,0.05876905455300196,1.1141821292310292,0.7786740087396903,0.04291218835030937,0.975,0.061074033118845975,0.06057244069912779,0.042378766187961436,0.04846208628155116
